"","X","stock.id","species","stock","region","sub.region","brood.yr","spawners","recruits","entry.yr","ln.rs","long","lat","loc.sst","our.region"
"501",501,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1983,1001364,1789083,1985,0.580340127487217,157.6,57.5,0.518686903113793,"EBS"
"502",502,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1984,1270318,5529338,1986,1.47080083487126,157.6,57.5,0.746524186973367,"EBS"
"503",503,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1985,1006407,2823426,1987,1.03156447875622,157.6,57.5,0.850913317818988,"EBS"
"504",504,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1986,1015582,7142239,1988,1.9505644654499,157.6,57.5,0.522092310108542,"EBS"
"505",505,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1987,686894,7164088,1989,2.34465606045981,157.6,57.5,0.320536661434311,"EBS"
"506",506,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1988,654412,5544385,1990,2.13680386037431,157.6,57.5,0.250663181876395,"EBS"
"507",507,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1989,1713287,4912511,1991,1.05337146874688,157.6,57.5,-0.00392903158365686,"EBS"
"508",508,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1990,749478,3858139,1992,1.63856325763732,157.6,57.5,0.62348564466756,"EBS"
"509",509,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1991,2482016,6680525,1993,0.990125444098853,157.6,57.5,0.528132957942094,"EBS"
"510",510,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1992,2194927,3149046,1994,0.360950761253292,157.6,57.5,0.274850220413049,"EBS"
"511",511,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1993,1413454,1357571,1995,-0.0403392808057752,157.6,57.5,0.425585010616994,"EBS"
"512",512,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1994,1095068,1586362,1996,0.370626882533977,157.6,57.5,0.578476531421128,"EBS"
"513",513,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1995,1321108,5774016,1997,1.47489707383591,157.6,57.5,0.516881332481642,"EBS"
"514",514,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1996,692167,1355911,1998,0.672401576145869,157.6,57.5,-0.045139556594615,"EBS"
"515",515,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1997,656641,3026469,1999,1.52801442641888,157.6,57.5,-0.0707879362151225,"EBS"
"516",516,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1998,924853,1248474,2000,0.30004247854844,157.6,57.5,0.597672359297315,"EBS"
"517",517,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",1999,1662042,3675003,2001,0.793506982118918,157.6,57.5,0.842029286549383,"EBS"
"518",518,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2000,638420,4360147,2002,1.92126467740537,157.6,57.5,1.43779570725635,"EBS"
"519",519,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2001,866368,2133615,2003,0.901263242650974,157.6,57.5,0.911582842167065,"EBS"
"520",520,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2002,905584,4500309,2004,1.60332130061931,157.6,57.5,0.992203039876582,"EBS"
"521",521,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2003,790202,6369924,2005,2.08705420858992,157.6,57.5,0.341124955246592,"EBS"
"522",522,NA,"Sockeye","Ugashik","Bristol Bay","Bristol Bay South",2004,815104,4260301,2006,1.6537793815826,157.6,57.5,-0.134294242982337,"EBS"
