"","stock","in.Dorner.et.al.","GOA","brood.yr","spawners","recruits","use","source","lat","long","notes","entry.yr","ln.rs","loc.sst","w.sst.1","w.sst.2","w.sst.3","our.region","npgo3","npgo2","npgo","pdo3","pdo2","pdo"
"226","Black","",1,1975,326563,361227,1,"",56.28,158.64,"",1977,0.100883683887154,-0.216354934812433,-1.0735259351769,-0.285755145390419,-0.301676775093423,"GOA",1.30214037333333,1.32380542,1.57191686,0.00199999999999996,0.767,1.19
"227","Black","",1,1976,553754,1242186,1,"",56.28,158.64,"",1978,0.807907464925298,0.490813506424971,0.502015644396058,0.0283532482996946,-0.338939812859169,"GOA",0.699126726,0.262731659,1.07569398,0.370666666666667,-0.039,0.344
"228","Black","",1,1977,364557,2181473,1,"",56.28,158.64,"",1979,1.78907269785844,0.390854899097743,-0.445309147796669,-0.14146643416703,0.0730275920206658,"GOA",-0.212163432,-0.856092138,-0.550230662,0.131333333333333,0.025,-0.422
"229","Black","",1,1978,419732,1087183,1,"",56.28,158.64,"",1980,0.951728813847351,0.199992820844886,0.162376279462608,0.214609949666195,-0.00536308282142663,"GOA",-0.732720890666667,-0.823966005,-1.161953614,0.237333333333333,0.567,0.472
"230","Black","",1,1979,491467,3347752,1,"",56.28,158.64,"",1981,1.9186495588624,-0.0790214868742809,0.26684361986978,0.351791435822596,0.288653050369267,"GOA",-0.5770881,-0.284655343,-0.485978396,0.524666666666667,0.551,0.662
"231","Black","",1,1980,369580,1726624,1,"",56.28,158.64,"",1982,1.54155611010612,0.20097596370449,0.436739251775411,0.291683450054214,0.283403506659402,"GOA",-0.162543242666667,-0.000825666000000003,-0.08333229,0.622,0.602,0.44
"232","Black","",1,1981,570210,1910702,1,"",56.28,158.64,"",1983,1.20922127875082,-0.071876862563997,0.146627648333016,0.174427198530636,0.261864549612228,"GOA",0.0519785146666667,0.119633917,0.081680958,0.880666666666667,1.101,0.764
"233","Black","",1,1982,616117,2250490,1,"",56.28,158.64,"",1984,1.29546636870303,0.593745242985935,0.202226748728257,0.570243475581225,0.429038199831822,"GOA",0.186787122,0.239340204,0.157586876,1.02133333333333,1.15,1.438
"234","Black","",1,1983,426178,592498,1,"",56.28,158.64,"",1985,0.329490398102186,0.871504961432116,0.938260202434192,0.934101214775273,0.690143059426268,"GOA",-0.251014759333333,-0.455315577,0.321093532,1.06933333333333,0.885,0.862
"235","Black","",1,1984,597713,714564,1,"",56.28,158.64,"",1986,0.178561860851044,0.417901147448659,0.929942227116354,0.400367289575695,0.579664927195194,"GOA",-0.25140106,-0.537648356,-1.231724686,1.208,1.381,0.908
"236","Black","",1,1985,376578,796956,1,"",56.28,158.64,"",1987,0.749674273142226,0.750597511346393,-0.129207647964965,0.745548047532107,0.80701277406019,"GOA",-0.08616401,0.486616328,0.156427974,1.34266666666667,1.56,1.854
"237","Black","",1,1986,557772,2413027,1,"",56.28,158.64,"",1988,1.46468697822306,1.1049020068557,1.62030374302918,1.15371872873293,0.726076603166963,"GOA",0.651188529333333,0.898568807,0.816804682,0.823333333333333,0.308,1.266
"238","Black","",1,1987,589299,1462807,1,"",56.28,158.64,"",1989,0.909178776693085,0.214147669700036,0.687133714436674,0.152216072155344,0.641578629113289,"GOA",0.61025427,0.506979064,0.980332932,0.0533333333333333,-0.553,-0.65
"239","Black","",1,1988,420580,1642109,1,"",56.28,158.64,"",1990,1.36210195924901,-0.218385294999492,-0.382701570125986,-0.291008712716914,0.0350387630009487,"GOA",0.0628196646666667,-0.395936969,0.033625196,-0.893333333333333,-1.015,-0.456
"240","Black","",1,1989,384001,1682141,1,"",56.28,158.64,"",1991,1.47717750904372,-0.102840003474834,-0.199315855307841,-0.363654922320532,-0.37000380492235,"GOA",-0.341927988,-0.52970458,-0.825499134,-0.574,-0.633,-1.574
"241","Black","",1,1990,434550,1485849,1,"",56.28,158.64,"",1992,1.22943059215705,0.0108907118272964,-0.527993989333224,-0.13768706016015,-0.158229991876047,"GOA",-1.00974146,-1.101862623,-0.233910026,-0.258,0.4,0.308
"242","Black","",1,1991,662660,1571079,1,"",56.28,158.64,"",1993,0.863255885297426,0.161421552123485,0.252619869012923,0.0522575022543888,-0.141159661608149,"GOA",-1.447087742,-2.0536766,-1.96981522,0.594,0.737,0.492
"243","Black","",1,1992,360681,959184,1,"",56.28,158.64,"",1994,0.978089011838424,0.628801724974229,-0.148104864504146,0.446940742637884,0.38216711809623,"GOA",-1.82376771533333,-1.750743963,-2.13753798,0.289333333333333,0.188,0.982
"244","Black","",1,1993,364261,941762,1,"",56.28,158.64,"",1995,0.949881945067715,0.334220847420954,1.04198634977991,0.221175768889941,0.0980822244252452,"GOA",-1.36064997533333,-0.972205973,-1.363949946,0.274,-0.08,-0.606
"245","Black","",1,1994,769465,2041293,1,"",56.28,158.64,"",1996,0.975643241422446,0.135392531674358,-0.599634812000031,-0.404429711723384,0.0777089754443816,"GOA",-1.03656622066667,-0.872874358,-0.580462,0.028,0.345,0.446
"246","Black","",1,1995,366496,2061132,1,"",56.28,158.64,"",1997,1.72702301820359,0.444677821449107,-0.209224611446736,-0.250921993858428,-0.36715959990563,"GOA",-0.331516148666667,-0.207043223,-1.165286716,0.642666666666667,0.741,0.244
"247","Black","",1,1996,464748,1646125,1,"",56.28,158.64,"",1998,1.26468399682701,0.620254657590042,-0.292619376270121,0.420633718450639,0.210680941818181,"GOA",0.318468778,1.060346525,0.75120027,0.342666666666667,0.392,1.238
"248","Black","",1,1997,396668,781890,1,"",56.28,158.64,"",1999,0.678614406913077,0.71997039589141,1.1338868131714,0.917645260010352,0.514223714583528,"GOA",1.24361055,1.48981569,1.36949278,-0.153333333333333,-0.849,-0.454
"249","Black","",1,1998,410659,875212,1,"",56.28,158.64,"",2000,0.756702956305535,-0.047715335795824,0.701403706849305,0.0831837402760118,0.433418097907807,"GOA",1.81896675333333,2.04370374,1.6101386,-0.477333333333333,-0.489,-1.244
"250","Black","",1,1999,457424,995315,1,"",56.28,158.64,"",2001,0.777448519273864,0.500250310235658,-0.535036226297282,0.0235202494957488,0.249481401946934,"GOA",2.01072238666667,2.21101428,2.47726888,-0.525333333333333,-0.166,0.266
"251","Black","",1,2000,536139,1581986,1,"",56.28,158.64,"",2002,1.08204284292169,0.374137797350441,0.582076725288779,0.0872740271385894,-0.120162724006701,"GOA",2.05722435866667,1.847202098,1.94475968,0.486666666666667,0.597,-0.598
"252","Black","",1,2001,744015,875274,1,"",56.28,158.64,"",2003,0.162475784275587,0.603971139356361,-0.407528671011601,0.770589045627045,0.70775160551429,"GOA",1.326480454,1.017340841,1.749644516,0.556,1.133,1.792
"253","Black","",1,2002,384088,380224,1,"",56.28,158.64,"",2004,-0.0101111402664478,0.994493504349024,1.94870676226569,1.14634675716427,0.628388281105645,"GOA",0.273767326666667,-0.464171268,0.285037166,0.876,0.418,0.474
"254","Black","",1,2003,350004,691350,1,"FMS15-02",56.28,158.64,"",2005,0.680701624845045,0.693160900983572,0.343986752062845,0.371520024640565,0.897248937182273,"GOA",-0.665353895333333,-1.140549426,-1.213379702,0.308,0.225,0.362
"255","Black","",1,2004,363800,919792,1,"FMS15-02",56.28,158.64,"",2006,0.927543291441034,0.752308310748513,0.399053297218285,0.305636773905409,0.318420099957888,"GOA",-0.910357842666667,-0.758846913,-1.06771915,0.124,0.005,0.088
"256","Black","",1,2005,355091,1505934,1,"FMS15-02",56.28,158.64,"",2007,1.44479448804371,-0.314455498082889,0.212220250592533,-0.254039938387715,-0.0363421931857153,"GOA",-0.222457106,0.200173916,-0.449974676,-0.272666666666667,-0.453,-0.078
"257","Black","",1,2006,366497,3239005,1,"FMS15-02",56.28,158.64,"",2008,2.17903112710214,-0.713656462074809,-0.720300127367964,-0.751265814943674,-0.430103793098272,"GOA",0.425448599333333,0.863160237,0.850322508,-0.746,-1.08,-0.828
"268","Bowron","y",0,1960,3506,17733,1,"DFO",49.12,123.06,"",1962,1.6209515240113,0.654518598812633,1.09707435759388,0.522109819958372,0.655621802813055,"South",0.337209576666667,-0.12433509,0.00705286,-0.608,-1.076,-1.68
"269","Bowron","y",0,1961,3675,28148,1,"DFO",49.12,123.06,"",1963,2.0359231714395,0.818444236454708,-0.052854717677136,0.534586788752073,0.722082645032675,"South",0.111720142,0.164053783,-0.25572304,-0.999333333333333,-0.659,-0.472
"270","Bowron","y",0,1962,3219,21327,1,"DFO",49.12,123.06,"",1964,1.89090312329878,-0.291402716624347,1.12202829518128,0.866329647941501,0.559934859401955,"South",-0.090260954,-0.007529911,0.583830606,-0.751333333333333,-0.891,-0.846
