"","stock.id","species","even.odd","stock","full.stock","GOA","region","sub.region","brood.yr","spawners","recruits","use","entry.yr","ln.rs","long","lat","loc.sst","w.sst.1","w.sst.2","our.region","npgo2","npgo","pdo2","pdo"
"63",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1983,198283,555572,1,1984,1.03030291048501,122.2072,48.02139,-0.224456374521123,0.379022546423552,0.369353530984145,"South",0.239340204,0.157586876,1.15,1.438
"64",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1985,302192,240925,1,1986,-0.226576895216139,122.2072,48.02139,0.0547009298856068,-0.55298295055622,-0.673153596746119,"South",-0.537648356,-1.231724686,1.381,0.908
"65",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1987,152418,324143,1,1988,0.754558029932915,122.2072,48.02139,0.195639567762067,0.841178580966229,0.695736307659983,"South",0.898568807,0.816804682,0.308,1.266
"66",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1989,80149,272505,1,1990,1.22376956018745,122.2072,48.02139,0.124130980820754,-0.808353068000749,-0.45461151024743,"South",-0.395936969,0.033625196,-1.015,-0.456
"67",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1991,174000,110944,1,1992,-0.450029729711916,122.2072,48.02139,1.66102247421373,-0.523165089436313,0.155877804561086,"South",-1.101862623,-0.233910026,0.4,0.308
"68",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1993,100000,118148,1,1994,0.166767889867188,122.2072,48.02139,0.699718356778464,0.261205027145898,0.57073627000467,"South",-1.750743963,-2.13753798,0.188,0.982
"69",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1995,101600,120046,1,1996,0.166831467517546,122.2072,48.02139,0.0755012942244327,0.195598507047483,0.489466016433336,"South",-0.872874358,-0.580462,0.345,0.446
"70",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1997,103537,238351,1,1998,0.833815340408291,122.2072,48.02139,1.46833955928575,-0.200447106051677,0.884888521630764,"South",1.060346525,0.75120027,0.392,1.238
"71",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",1999,237057,1132896,1,2000,1.56423184656421,122.2072,48.02139,0.611235228326711,0.322614016462724,0.0952684603335079,"South",2.04370374,1.6101386,-0.489,-1.244
"72",203,"Pink","O","Snohomish","Snohomish.O",0,"Inside WA","Inside WA",2001,1073369,1561630,1,2002,0.374927847407961,122.2072,48.02139,-0.603860835062218,0.0463405865112615,-0.31660970616004,"South",1.847202098,1.94475968,0.597,-0.598
