"","region","stock","brood.yr","spawners","recruits","entry.yr","long","lat","loc.sst","w.sst.3","w.sst.2","w.sst.1"
"143","South","Bowron",1965,1170,17849,1967,123.06,49.12,-0.0798645483182092,-0.203041758790824,-0.373953588664025,-0.456491691283679
"144","South","Bowron",1966,1151,22249,1968,123.06,49.12,-0.756696651128006,-0.721843803471559,-0.8545198595655,-0.291415486044372
"145","South","Bowron",1967,13991,206494,1969,123.06,49.12,-0.593861212518105,-0.477720246325665,-0.570872626466311,-1.41762423308663
"146","South","Bowron",1968,1710,43543,1970,123.06,49.12,-1.03222934203665,-0.782986391489301,-0.465667470690639,0.275878980154006
"147","South","Bowron",1969,1936,17211,1971,123.06,49.12,-1.16013805694293,-0.946586988237116,-1.55781997243268,-1.20721392153528
"148","South","Bowron",1970,497,16197,1972,123.06,49.12,-1.08089016159914,-1.38709339462472,-1.47703313116945,-1.90842602333007
"149","South","Bowron",1971,10761,124507,1973,123.06,49.12,-1.06551350237295,-1.45393403181338,-1.22668803605503,-1.04564023900882
"150","South","Bowron",1972,1969,16971,1974,123.06,49.12,-0.733668982681491,-0.924248093314851,-0.863552020467866,-1.40773583310123
"151","South","Bowron",1973,2012,10662,1975,123.06,49.12,-1.02744428224651,-0.99009032874798,-0.781267576571354,-0.319368207834499
"152","South","Bowron",1974,1046,17431,1976,123.06,49.12,-0.357868232026321,-0.233990451131156,-0.191301572779486,-1.24316694530821
"153","South","Bowron",1975,14735,122498,1977,123.06,49.12,-0.0386924001244333,-0.116107091970852,0.447422834697827,0.860563799749239
"154","South","Bowron",1976,1069,7112,1978,123.06,49.12,-8.2881603294248e-05,-0.0413664280317065,-0.492331541922179,0.0342818696464151
"155","South","Bowron",1977,1214,15396,1979,123.06,49.12,0.129708098754602,-0.192683139533032,-0.306165644122756,-1.01894495349077
"156","South","Bowron",1978,1678,40627,1980,123.06,49.12,-0.115824560268063,0.00521000845823229,0.517287489432735,0.406613665245262
"157","South","Bowron",1979,16178,29984,1981,123.06,49.12,-0.118509825084233,0.230180616588099,0.141964092259517,0.627961313620208
"158","South","Bowron",1980,1376,45170,1982,123.06,49.12,-0.0321668235671154,0.215586735907564,0.00939944705124193,-0.344033129101174
"159","South","Bowron",1981,562,16532,1983,123.06,49.12,0.520549804033113,0.138835767975157,0.380270216513322,0.362832023203658
"160","South","Bowron",1982,990,5277,1984,123.06,49.12,-0.249113331432414,0.0863159173870554,-0.0519421355212462,0.397708409822986
"161","South","Bowron",1983,3484,38149,1985,123.06,49.12,-0.535936662599139,-0.324957756497159,-0.686290839657231,-0.501592680865478
"162","South","Bowron",1984,4909,50603,1986,123.06,49.12,0.0306405563353112,-0.23521263666299,-0.102022614561747,-0.870988998448985
"163","South","Bowron",1985,3030,19177,1987,123.06,49.12,0.0410648068010515,0.0703997368303834,0.541094104470067,0.66694376932549
"164","South","Bowron",1986,1396,21198,1988,123.06,49.12,-0.294910738484064,0.115530860405983,-0.160175594053772,0.415244439614644
"165","South","Bowron",1987,5660,22592,1989,123.06,49.12,0.0859348309666345,-0.15651304887566,-0.442391793120812,-0.735595627722186
"166","South","Bowron",1988,7405,13050,1990,123.06,49.12,-0.0237338399718502,-0.488601101561637,-0.365103838481364,-0.149187958519437
"167","South","Bowron",1989,1367,12842,1991,123.06,49.12,0.0373511333828124,-0.0394973277164632,0.0153479876850232,-0.581019718443289
"168","South","Bowron",1990,5065,31130,1992,123.06,49.12,0.464016801393053,0.0576540039336874,0.376990865122175,0.611715693813336
"169","South","Bowron",1991,2460,48739,1993,123.06,49.12,0.612218635412869,0.465048965074068,0.391715600704434,0.142266036431014
"170","South","Bowron",1992,1117,12883,1994,123.06,49.12,0.63805865003212,0.292379377230917,0.367436047630868,0.641165164977854
"171","South","Bowron",1993,592,20467,1995,123.06,49.12,0.934206086970627,0.472231588407439,0.387764800122231,0.0937069302838829
"172","South","Bowron",1994,1845,10849,1996,123.06,49.12,0.122034137112517,0.216147286615271,0.277367464780964,0.681822669960581
"173","South","Bowron",1995,13467,27391,1997,123.06,49.12,1.34254170537941,0.850609461192892,0.935002856809047,-0.127087740398653
"174","South","Bowron",1996,4055,26776,1998,123.06,49.12,0.809149595772957,0.737501018645011,1.16979539816684,1.99709345401675
"175","South","Bowron",1997,2119,5024,1999,123.06,49.12,-0.060958054202157,0.751262948690307,0.128347696027086,0.342497342316937
"176","South","Bowron",1998,2830,17001,2000,123.06,49.12,0.174867886071273,0.145593071679696,0.0471409363610744,-0.0858019502627636
"177","South","Bowron",1999,3295,19734,2001,123.06,49.12,-0.303335342483304,-0.161234345349115,-0.198950542892292,0.180083822984914
"178","South","Bowron",2000,6720,25283,2002,123.06,49.12,0.142726979296998,0.232633169576417,0.258907842872168,-0.577984908769496
"179","South","Bowron",2001,2752,6825,2003,123.06,49.12,0.674832777545798,0.259934444495113,0.678894121127417,1.09580059451383
